rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.074.386 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.849 W srv  llama_server: -----------------
0.00.074.852 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.852 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.853 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.853 W srv  llama_server: -----------------
0.00.076.147 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.932.372 I cmn          init: llama threadpool init, n_threads = 4
0.01.972.411 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.972.456 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.972.457 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.977.364 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.977.397 I srv  llama_server: model loaded
0.01.977.402 I srv  llama_server: listening on http://127.0.0.1:18311
0.10.612.099 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.21.194.655 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.58 s / 616.87 tokens per second
0.21.194.671 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.56 s / 606.30 tokens per second
0.21.428.425 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.79 s / 605.02 tokens per second
0.21.428.458 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6656, progress = 0.81, t =  10.82 s / 615.37 tokens per second
0.21.428.479 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.79 s / 605.03 tokens per second
0.21.661.878 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6656, progress = 0.81, t =  11.02 s / 603.82 tokens per second
0.21.661.930 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.05 s / 613.96 tokens per second
0.21.661.953 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6656, progress = 0.81, t =  11.02 s / 603.83 tokens per second
0.21.896.508 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.26 s / 602.61 tokens per second
0.21.896.541 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.28 s / 612.53 tokens per second
0.21.896.565 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.26 s / 602.61 tokens per second
0.22.132.308 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.49 s / 601.38 tokens per second
0.22.132.345 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.52 s / 611.11 tokens per second
0.22.132.371 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.49 s / 601.38 tokens per second
0.22.368.588 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.73 s / 600.18 tokens per second
0.22.368.625 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   7168, progress = 0.88, t =  11.76 s / 609.71 tokens per second
0.22.368.650 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.73 s / 600.18 tokens per second
0.22.605.876 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7168, progress = 0.88, t =  11.97 s / 598.98 tokens per second
0.22.605.936 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   7296, progress = 0.89, t =  11.99 s / 608.32 tokens per second
0.22.605.959 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   7168, progress = 0.88, t =  11.97 s / 598.98 tokens per second
0.22.844.089 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7296, progress = 0.89, t =  12.21 s / 597.77 tokens per second
0.22.844.125 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   7424, progress = 0.91, t =  12.23 s / 606.94 tokens per second
0.22.844.153 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   7296, progress = 0.89, t =  12.21 s / 597.78 tokens per second
0.23.083.274 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   7424, progress = 0.91, t =  12.44 s / 596.57 tokens per second
