rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.812 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.266 W srv  llama_server: -----------------
0.00.073.268 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.268 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.268 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.269 W srv  llama_server: -----------------
0.00.074.564 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.928.262 I cmn          init: llama threadpool init, n_threads = 4
0.01.968.951 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8704, kv_unified = 'false'
0.01.968.994 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.968.995 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.973.887 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.973.922 I srv  llama_server: model loaded
0.01.973.927 I srv  llama_server: listening on http://127.0.0.1:18235
0.10.916.573 I slot get_availabl: id  3 | task -1 | selected slot by id (3)
0.19.455.138 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4352, progress = 0.53, t =   8.54 s / 509.70 tokens per second
0.19.455.150 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4352, progress = 0.53, t =   8.54 s / 509.70 tokens per second
0.19.455.160 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4352, progress = 0.53, t =   8.54 s / 509.70 tokens per second
0.19.726.209 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4352, progress = 0.53, t =   8.61 s / 505.48 tokens per second
0.19.726.242 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4480, progress = 0.55, t =   8.81 s / 508.54 tokens per second
0.19.726.263 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4480, progress = 0.55, t =   8.81 s / 508.55 tokens per second
0.19.726.290 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4480, progress = 0.55, t =   8.81 s / 508.55 tokens per second
0.19.999.603 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4480, progress = 0.55, t =   8.88 s / 504.34 tokens per second
0.19.999.674 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4608, progress = 0.56, t =   9.08 s / 507.33 tokens per second
0.19.999.710 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4608, progress = 0.56, t =   9.08 s / 507.33 tokens per second
0.19.999.747 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4608, progress = 0.56, t =   9.08 s / 507.33 tokens per second
0.20.270.109 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4608, progress = 0.56, t =   9.15 s / 503.41 tokens per second
0.20.270.131 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4736, progress = 0.58, t =   9.35 s / 506.34 tokens per second
0.20.270.143 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4736, progress = 0.58, t =   9.35 s / 506.34 tokens per second
0.20.270.156 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4736, progress = 0.58, t =   9.35 s / 506.34 tokens per second
0.20.545.897 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4736, progress = 0.58, t =   9.43 s / 502.27 tokens per second
0.20.545.947 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4864, progress = 0.59, t =   9.63 s / 505.13 tokens per second
0.20.545.978 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4864, progress = 0.59, t =   9.63 s / 505.14 tokens per second
0.20.546.010 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4864, progress = 0.59, t =   9.63 s / 505.14 tokens per second
0.20.819.827 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4864, progress = 0.59, t =   9.70 s / 501.28 tokens per second
