rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.609 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.210 W srv  llama_server: -----------------
0.00.073.212 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.212 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.213 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.213 W srv  llama_server: -----------------
0.00.074.576 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.908.027 I cmn          init: llama threadpool init, n_threads = 4
0.01.948.845 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.948.894 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.948.895 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.953.848 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.953.889 I srv  llama_server: model loaded
0.01.953.899 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.447.804 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.22.511.841 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7168, progress = 0.88, t =  12.04 s / 595.12 tokens per second
0.22.511.873 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7296, progress = 0.89, t =  12.06 s / 604.78 tokens per second
0.22.751.231 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7296, progress = 0.89, t =  12.28 s / 593.94 tokens per second
0.22.751.279 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7296, progress = 0.89, t =  12.28 s / 593.94 tokens per second
0.22.751.311 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7424, progress = 0.91, t =  12.30 s / 603.41 tokens per second
0.22.993.081 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7424, progress = 0.91, t =  12.53 s / 592.69 tokens per second
0.22.993.117 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7424, progress = 0.91, t =  12.53 s / 592.69 tokens per second
0.22.993.151 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7552, progress = 0.92, t =  12.55 s / 601.98 tokens per second
0.23.234.235 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7552, progress = 0.92, t =  12.77 s / 591.52 tokens per second
0.23.234.269 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7552, progress = 0.92, t =  12.77 s / 591.52 tokens per second
0.23.234.292 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7680, progress = 0.94, t =  12.79 s / 600.64 tokens per second
0.23.476.398 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7680, progress = 0.94, t =  13.01 s / 590.35 tokens per second
0.23.476.433 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7680, progress = 0.94, t =  13.01 s / 590.35 tokens per second
0.23.476.457 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7808, progress = 0.95, t =  13.03 s / 599.30 tokens per second
0.23.719.445 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7808, progress = 0.95, t =  13.25 s / 589.18 tokens per second
0.23.719.480 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7808, progress = 0.95, t =  13.25 s / 589.18 tokens per second
0.23.719.502 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7936, progress = 0.97, t =  13.27 s / 597.97 tokens per second
0.23.962.181 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7936, progress = 0.97, t =  13.49 s / 588.07 tokens per second
0.23.962.217 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7936, progress = 0.97, t =  13.49 s / 588.07 tokens per second
0.23.962.241 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   8060, progress = 0.98, t =  13.51 s / 596.41 tokens per second
0.24.209.617 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   8060, progress = 0.98, t =  13.74 s / 586.50 tokens per second
0.24.219.487 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   8060, progress = 0.98, t =  13.74 s / 586.51 tokens per second
0.24.221.328 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   8188, progress = 1.00, t =  13.76 s / 594.98 tokens per second
0.24.415.835 I slot print_timing: id  2 | task 1 | prompt eval time =   13967.90 ms /  8192 tokens (    1.71 ms per token,   586.49 tokens per second)
